bitmap   W          bitmap_io.c:215  al_load_bitmap_flags             [   0.00000] No handler for bitmap extensions .bmp - therefore not trying to load plansza1.bmp.
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.13010] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.13012] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.13015] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.13017] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.13019] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.13022] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.13025] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.13027] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.13059] added dtor for bitmap 01296C98, func 0F2E222A
stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.13189] opening display_section3.bmp rb
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.13235] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.13238] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.13241] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.13243] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.13246] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.13248] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.13250] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.13253] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.13255] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.13257] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.13260] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.13263] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.13265] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.13298] added dtor for bitmap 05DADA28, func 0F2E222A
stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.13420] opening display_section4.bmp rb
